'Time [h]';'Power [W]'
0.0;0.0
0.16666666666666666;0.0
0.3333333333333333;0.0
0.5;0.0
0.6666666666666666;0.0
0.8333333333333334;0.0
1.0;0.0
1.1666666666666667;0.0
1.3333333333333333;0.0
1.5;0.0
1.6666666666666667;0.0
1.8333333333333333;0.0
2.0;0.0
2.1666666666666665;0.0
2.3333333333333335;0.0
2.5;0.0
2.6666666666666665;0.0
2.8333333333333335;0.0
3.0;0.0
3.1666666666666665;0.40283493369913087
3.3333333333333335;0.8731273030474198
3.5;1.4015976761074802
3.6666666666666665;1.9789666209419294
3.8333333333333335;2.5959547056133845
4.0;3.2432824981844592
4.166666666666667;3.9116705667177722
4.333333333333333;4.591839479275935
4.5;5.274509803921569
4.666666666666667;5.950402108717288
4.833333333333333;6.610236961725704
5.0;7.2447349310094395
5.166666666666667;7.84461658463111
5.333333333333333;8.400602490653323
5.5;8.903413217138707
5.666666666666667;9.34376933214987
5.833333333333333;9.712391403749425
6.0;10.0
6.166666666666667;10.200445816186557
6.333333333333333;10.320100056483499
6.5;10.368464052287583
6.666666666666667;10.355039134995563
6.833333333333333;10.289326636004198
7.0;10.180827886710238
7.166666666666667;10.039044218510448
7.333333333333333;9.873476962801583
7.5;9.693627450980392
7.666666666666667;9.508997014443638
7.833333333333333;9.329086984588074
8.0;9.163398692810459
8.166666666666666;9.021433470507546
8.333333333333334;8.912692649076092
8.5;8.846677559912855
8.666666666666666;8.83288953441459
8.833333333333334;8.880829903978054
9.0;9.0
9.166666666666666;9.197473708276176
9.333333333333334;9.470615132198285
9.5;9.814360929557008
9.666666666666666;10.223647758143036
9.833333333333334;10.693412275747061
10.0;11.218591140159768
10.166666666666666;11.794121009171842
10.333333333333334;12.414938540573981
10.5;13.075980392156863
10.666666666666666;13.772183221711177
10.833333333333334;14.498483687027624
11.0;15.249818445896874
11.166666666666666;16.02112415610963
11.333333333333334;16.807337475456578
11.5;17.603395061728396
11.666666666666666;18.40423357271578
11.833333333333334;19.20478966620942
12.0;20.0
12.166666666666666;20.786922725194326
12.333333333333334;21.5711019661637
12.5;22.3602033405955
12.666666666666666;23.16189246617714
12.833333333333334;23.983834960596038
13.0;24.83369644153958
13.166666666666666;25.719142526695173
13.333333333333334;26.64783883375024
13.5;27.627450980392158
13.666666666666666;28.665644584308346
13.833333333333334;29.77008526318621
14.0;30.948438634713145
14.166666666666666;32.208370316576556
14.333333333333334;33.55754592646387
14.5;35.003631082062455
14.666666666666666;36.55429140105973
14.833333333333334;38.217192501143124
15.0;40.0
15.166666666666666;41.90500685871055
15.333333333333334;43.9130154119261
15.5;45.999455337690634
15.666666666666666;48.13975631404825
15.833333333333334;50.309348019043014
16.0;52.48366013071896
16.166666666666668;54.638122327120165
16.333333333333332;56.74816428629063
16.5;58.78921568627451
16.666666666666668;60.7367062051158
16.833333333333332;62.56606552085853
17.0;64.25272331154684
17.166666666666668;65.77210925522473
17.333333333333332;67.09965302993625
17.5;68.21078431372548
17.666666666666668;69.0809327846365
17.833333333333332;69.68552812071331
18.0;70.0
18.166666666666668;70.00697302240512
18.333333333333332;69.71785147529519
18.5;69.15123456790123
18.666666666666668;68.32572150945425
18.833333333333332;67.25991150918532
19.0;65.97240377632534
19.166666666666668;64.48179752010543
19.333333333333332;62.806691949756605
19.5;60.9656862745098
19.666666666666668;58.9773797035961
19.833333333333332;56.860371446246546
20.0;54.633260711692074
20.166666666666668;52.31464670916375
20.333333333333332;49.923128647892646
20.5;47.47730573710965
20.666666666666668;44.99577718604586
20.833333333333332;42.497142203932334
21.0;40.0
21.166666666666668;37.5209762231367
21.333333333333332;35.0688022808575
21.5;32.650236020334056
21.666666666666668;30.272035288738252
21.833333333333332;27.9409579332419
22.0;25.663761801016705
22.166666666666668;23.4472047392345
22.333333333333332;21.29804459506712
22.5;19.223039215686274
22.666666666666668;17.22894644826379
22.833333333333332;15.3225241399715
23.0;13.510530137981121
23.166666666666668;11.799722289464473
23.333333333333332;10.196858441593385
23.5;8.708696441539583
23.666666666666668;7.341994136474888
23.833333333333332;6.103509373571114
