0.00	26.33
0.10	32.02
0.20	35.10
0.30	36.87
0.40	34.68
0.50	30.13
1.00	14.98
1.10	17.67
1.20	4.93
1.30	3.25
1.40	1.61
1.50	7.77
2.00	15.26
2.10	9.09
2.20	0.71
2.30	1.13
2.40	2.19
2.50	0.25
3.00	0.09
3.10	0.04
3.20	0.05
3.30	0.06
3.40	0.06
3.50	0.04
4.00	0.06
4.10	0.03
4.20	0.07
4.30	0.03
4.40	0.08
4.50	0.03
5.00	0.06
5.10	0.05
5.20	0.06
5.30	0.03
5.40	0.08
5.50	0.03
6.00	0.05
6.10	1.31
6.20	6.73
6.30	14.08
6.40	14.11
6.50	10.81
7.00	18.56
7.10	25.80
7.20	25.19
7.30	33.68
7.40	43.64
7.50	50.68
8.00	43.32
8.10	42.00
8.20	49.41
8.30	51.42
8.40	41.33
8.50	46.99
9.00	61.79
9.10	53.97
9.20	58.12
9.30	59.40
9.40	86.91
9.50	65.77
10.00	55.50
10.10	49.61
10.20	73.55
10.30	75.82
10.40	73.34
10.50	67.47
11.00	36.02
11.10	17.99
11.20	43.14
11.30	46.59
11.40	16.30
11.50	21.64
12.00	40.92
12.10	30.72
12.20	20.81
12.30	4.66
12.40	19.03
12.50	14.40
13.00	8.91
13.10	13.85
13.20	25.22
13.30	30.90
13.40	37.65
13.50	46.00
14.00	85.57
14.10	95.39
14.20	96.61
14.30	85.64
14.40	96.28
14.50	113.52
15.00	117.16
15.10	101.58
15.20	106.45
15.30	97.83
15.40	96.93
15.50	96.70
16.00	92.40
16.10	88.73
16.20	83.24
16.30	62.06
16.40	58.41
16.50	50.53
17.00	27.64
17.10	36.77
17.20	36.23
17.30	37.24
17.40	29.65
17.50	14.15
18.00	16.45
18.10	15.51
18.20	12.64
18.30	6.79
18.40	7.78
18.50	17.70
19.00	14.78
19.10	8.15
19.20	17.63
19.30	9.30
19.40	6.12
19.50	29.17
20.00	45.49
20.10	46.40
20.20	62.39
20.30	82.60
20.40	109.86
20.50	111.85
21.00	130.51
21.10	130.47
21.20	151.67
21.30	202.34
21.40	180.29
21.50	163.91
22.00	179.39
22.10	183.24
22.20	170.16
22.30	124.33
22.40	111.82
22.50	78.87
23.00	69.86
23.10	53.28
23.20	49.97
23.30	41.94
23.40	61.29
23.50	43.71
