0.00	77.44
0.10	78.98
0.20	72.42
0.30	73.93
0.40	75.50
0.50	67.37
1.00	57.68
1.10	50.45
1.20	49.00
1.30	49.43
1.40	44.08
1.50	46.52
2.00	46.23
2.10	44.71
2.20	44.73
2.30	44.45
2.40	40.32
2.50	35.36
3.00	32.83
3.10	31.09
3.20	27.05
3.30	26.88
3.40	29.01
3.50	21.59
4.00	19.23
4.10	20.23
4.20	19.60
4.30	14.81
4.40	16.78
4.50	15.93
5.00	16.02
5.10	14.19
5.20	12.95
5.30	8.91
5.40	7.26
5.50	8.91
6.00	10.36
6.10	14.91
6.20	17.75
6.30	18.39
6.40	18.16
6.50	17.36
7.00	21.15
7.10	21.48
7.20	18.45
7.30	20.70
7.40	23.45
7.50	22.27
8.00	22.53
8.10	20.99
8.20	17.21
8.30	14.53
8.40	15.47
8.50	16.14
9.00	17.54
9.10	18.07
9.20	18.41
9.30	22.37
9.40	25.34
9.50	27.91
10.00	21.86
10.10	21.77
10.20	23.70
10.30	25.36
10.40	25.71
10.50	24.80
11.00	31.38
11.10	36.71
11.20	34.28
11.30	33.63
11.40	36.42
11.50	37.73
12.00	31.60
12.10	33.09
12.20	42.87
12.30	43.58
12.40	42.90
12.50	41.75
13.00	36.39
13.10	35.91
13.20	36.39
13.30	33.90
13.40	26.17
13.50	20.12
14.00	18.42
14.10	20.92
14.20	22.95
14.30	25.08
14.40	23.50
14.50	23.93
15.00	22.98
15.10	22.22
15.20	20.91
15.30	20.84
15.40	21.79
15.50	21.30
16.00	23.69
16.10	25.15
16.20	25.28
16.30	27.01
16.40	29.33
16.50	33.47
17.00	34.85
17.10	33.95
17.20	33.30
17.30	32.15
17.40	33.31
17.50	33.79
18.00	37.20
18.10	41.74
18.20	39.27
18.30	42.53
18.40	45.54
18.50	44.39
19.00	44.52
19.10	43.25
19.20	45.70
19.30	47.67
19.40	49.00
19.50	54.71
20.00	55.86
20.10	56.22
20.20	67.63
20.30	71.96
20.40	74.91
20.50	75.64
21.00	83.51
21.10	87.71
21.20	87.01
21.30	86.79
21.40	88.03
21.50	93.19
22.00	89.90
22.10	93.71
22.20	96.86
22.30	100.85
22.40	92.61
22.50	93.46
23.00	89.53
23.10	88.50
23.20	87.76
23.30	85.02
23.40	82.22
23.50	78.82
