0.0	0.0
1.0	50.0
2.0	100.0
3.0	150.0
4.0	200.0
5.0	200.0
6.0	200.0
7.0	200.0
8.0	200.0
9.0	200.0
10.0	200.0
11.0	1100.0
12.0	2000.0
13.0	2000.0
14.0	2000.0
15.0	2000.0
16.0	2000.0
17.0	2000.0
18.0	2000.0
19.0	2000.0
20.0	2000.0
21.0	2000.0
22.0	2000.0
23.0	2000.0
24.0	2000.0
25.0	2000.0
26.0	2000.0
27.0	2000.0
28.0	2000.0
29.0	2000.0
30.0	2000.0
31.0	2000.0
32.0	2000.0
33.0	2000.0
34.0	2000.0
35.0	2000.0
36.0	2000.0
37.0	2000.0
38.0	2000.0
39.0	2000.0
40.0	1200.0
41.0	400.0
42.0	400.0
43.0	400.0
44.0	400.0
45.0	400.0
46.0	400.0
47.0	400.0
48.0	400.0
49.0	400.0
50.0	400.0
51.0	400.0
52.0	400.0
53.0	400.0
54.0	400.0
55.0	400.0
56.0	500.0
57.0	600.0
58.0	0.0
59.0	0.0
60.0	150.0
61.0	300.0
62.0	300.0
63.0	300.0
64.0	300.0
65.0	300.0
66.0	150.0
67.0	0.0
68.0	200.0
69.0	400.0
70.0	400.0
71.0	400.0
72.0	400.0
73.0	400.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	400.0
78.0	400.0
79.0	400.0
80.0	400.0
81.0	400.0
82.0	400.0
83.0	400.0
84.0	400.0
85.0	0.0
86.0	800.0
87.0	800.0
88.0	800.0
89.0	800.0
90.0	800.0
91.0	800.0
92.0	800.0
93.0	800.0
94.0	800.0
95.0	800.0
96.0	800.0
97.0	800.0
98.0	800.0
99.0	800.0
100.0	800.0
101.0	720.0
102.0	640.0
103.0	560.0
104.0	480.0
105.0	400.0
106.0	320.0
107.0	240.0
108.0	160.0
109.0	80.0
110.0	0.0
