1	1	1	1300	12	1	1	0	0	0	0	0	0
0.4	0.32	0.32	2000	144	2	2	350	1050	0	350	1050	0
1	1	1	2000	60	1	2	0	0	0	200	900	0
0.75	0.7	0.6	1100	11	1	2	0	0	0	200	900	0
1	1	1	75	1440	0	0	0	0	0	0	0	0
0.29	0.27	0.25	65	1440	0	0	0	0	0	0	0	0
1	1	1	0	110	1	1	0	0	0	0	0	0
0.47	0.47	0.25	0	110	3	2	350	770	1100	350	1100	0
0.1	0.1	0.1	0	110	1	1	0	0	0	0	0	0
0.22	0.3	0.38	1255	200	2	2	300	900	0	300	900	0
0.59	0.58	0.5	160	180	2	2	650	1050	0	350	1050	0
0.8	0.8	0.72	30	180	2	2	650	1050	0	350	1050	0
1	1	1	200	240	3	3	300	650	1050	300	650	1050
1	1	1	1500	15	3	3	300	650	1050	300	650	1050
0.63	0.63	0.60	300	72	1	1	0	0	0	0	0	0
0.2	0.2	0.2	100	72	1	1	0	0	0	0	0	0
1	1	1	1	0	2	2	0	0	0	0	0	0
												
												
												
												
												
												
												
											 	
