'App_name';'App_nickname';0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
'air_conditioner';'ac';0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'lighting';'lux';137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132
'fridge';'frg';189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775
'freezer';'frz';195287.5770547946;195287.5770547946;0.0;0.0;0.0;195287.5770547946;0.0;0.0;0.0;195287.5770547946;0.0;0.0;0.0;0.0;0.0;0.0;195287.5770547946;0.0;0.0;0.0;195287.5770547946;0.0;195287.5770547946;0.0;195287.5770547946;0.0;195287.5770547946;195287.5770547946;195287.5770547946;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;195287.5770547946;0.0;195287.5770547946;0.0;0.0;0.0;0.0;0.0;195287.5770547946;0.0;0.0;0.0;195287.5770547946;0.0;195287.5770547946;195287.5770547946;195287.5770547946;0.0;0.0;195287.5770547946;0.0;0.0;0.0;195287.5770547946;0.0;0.0;0.0;0.0;0.0;0.0;195287.5770547946;0.0;0.0;0.0;0.0;195287.5770547946;195287.5770547946;0.0;0.0;195287.5770547946;0.0;195287.5770547946;0.0;0.0;0.0;0.0;0.0;195287.5770547946;0.0;0.0;0.0;0.0;0.0;0.0;0.0;195287.5770547946;0.0;0.0;195287.5770547946;0.0;0.0;0.0
'electric_oven';'elo';66555.25114155252;62589.95433789956;63349.77168949772;67457.53424657535;64869.40639269406;64584.47488584474;64246.732797984565;65011.87214611872;64584.47488584474;63967.12328767124;65320.547945205486;61521.46118721462;64109.58904109589;62589.954337899544;62898.63013698632;66246.57534246575;63349.77168949772;65320.547945205486;63800.91324200913;65629.22374429225;61521.46118721462;65937.899543379;63658.44748858448;64133.33333333333;66246.57534246576;61378.99543378997;65011.87214611874;61830.136986301375;65344.29223744292;64252.05479452055;63349.77168949772;63658.44748858448;67148.85844748859;65178.08219178081;64869.406392694065;60761.64383561644;65486.75799086758;63041.095890410965;62423.74429223745;65652.96803652968;63800.91324200913;61521.46118721462;67148.85844748859;62898.63013698631;64560.7305936073;66080.36529680366;67148.85844748859;62447.48858447489;66721.4611872146;64869.40639269406;65320.547945205486;63967.12328767124;63064.840182648404;65344.29223744292;65035.616438356155;65178.08219178082;64109.58904109588;65344.29223744291;68526.02739726027;62138.81278538813;63041.095890410965;63492.237442922386;65486.757990867576;65178.08219178082;62138.81278538813;63515.98173515983;65629.22374429225;64560.7305936073;62447.48858447489;63349.77168949772;65795.43378995435;63629.191128506194;65486.75799086758;63207.30593607307;64109.58904109588;62589.954337899544;64726.94063926941;64252.054794520554;63041.095890410965;65320.547945205486;65937.899543379;61663.926940639285;65035.61643835617;62589.95433789955;66389.04109589042;62584.809741248115;62898.63013698631;62898.63013698631;64109.58904109588;65344.29223744292;63515.98173515982;63349.77168949772;64418.264840182645;64418.264840182645;64726.94063926939;66697.71689497717;62423.74429223745;64109.58904109588;64869.40639269406;65178.08219178082
'microwave_oven';'mwo';23626.400996264016;23626.400996264016;24209.21544209216;24209.21544209216;0.0;23626.400996264016;25643.83561643836;0.0;0.0;24792.029887920304;24209.215442092158;23357.409713574103;22191.78082191781;0.0;22774.595267745957;25061.021170610213;22774.595267745957;0.0;22191.780821917815;23626.400996264016;0.0;25061.021170610213;25643.83561643836;23626.400996264016;25643.83561643836;22191.780821917815;0.0;24209.21544209216;0.0;25643.83561643836;22774.595267745957;0.0;25061.021170610213;0.0;23357.409713574103;23357.409713574103;25061.021170610213;25643.83561643836;0.0;25061.021170610213;0.0;0.0;0.0;24209.21544209216;24792.029887920304;0.0;25643.83561643836;0.0;22191.78082191781;23626.400996264016;25643.83561643836;24209.21544209216;25643.83561643836;0.0;25643.83561643836;0.0;22774.595267745957;26226.6500622665;25061.021170610213;23357.409713574103;24209.21544209216;0.0;0.0;24792.029887920304;0.0;22774.595267745957;23357.409713574103;23357.409713574096;24792.029887920304;22774.595267745957;26226.6500622665;23357.409713574096;0.0;0.0;24209.21544209216;24792.029887920304;24792.029887920304;23626.400996264016;25643.83561643836;24792.029887920304;24792.029887920304;24209.21544209216;0.0;0.0;22774.595267745957;22191.78082191781;26226.6500622665;24792.029887920304;24792.029887920304;22191.78082191781;24209.21544209216;23357.409713574096;25061.021170610213;22774.595267745957;23357.409713574096;23626.400996264016;24792.0298879203;22774.595267745957;24792.029887920304;22191.78082191781
'electric_boiler';'bo';0.0;0.0;0.0;772050.4109589041;0.0;0.0;0.0;0.0;0.0;0.0;755040.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;772050.4109589042;765975.7290869897;0.0;0.0;0.0;0.0;771523.8575342466;0.0;0.0;0.0;0.0;0.0;0.0;772050.4109589041;0.0;0.0;0.0;0.0;0.0;0.0;769309.5123287671;767690.9589041097;0.0;0.0;0.0;0.0;0.0;773746.3232876712;0.0;776409.8630136985;0.0;0.0;0.0;0.0;775370.5009200573;762733.1506849315;0.0;0.0;0.0;0.0;0.0;772635.090410959;0.0;0.0;0.0;0.0;0.0;764357.2602739726;778632.3287671232;0.0;769913.4246575343;0.0;772563.2876712331;0.0;0.0;0.0;774700.2739726027;770426.301369863;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;760510.6849315068;783077.2602739725;0.0;0.0;0.0;0.0;0.0;0.0;755020.4033950693
'iron';'ir';47164.9315068493;41838.90410958904;44856.98630136985;47934.24657534246;45626.301369863;44501.91780821918;41069.58904109589;42963.28767123287;45271.232876712325;42608.21917808219;43732.602739726026;38051.50684931506;42608.21917808219;47164.9315068493;43732.602739726026;46040.54794520547;41838.904109589035;45271.232876712325;38820.821917808214;42253.150684931505;40714.5205479452;42253.150684931505;39590.13698630137;42608.21917808219;41069.58904109588;38051.50684931506;44501.91780821918;42963.28767123287;39945.20547945205;44856.98630136985;39945.20547945205;41483.83561643835;45626.301369863;42963.28767123287;40359.452054794514;39945.20547945205;42253.150684931505;43377.534246575335;43854.43996776792;46040.54794520547;44501.91780821918;40714.5205479452;47164.9315068493;46040.54794520547;38820.821917808214;41069.58904109588;47164.9315068493;41069.58904109588;37282.191780821915;41069.58904109588;40714.5205479452;42963.28767123287;41838.904109589035;46395.61643835616;39175.8904109589;37282.191780821915;42608.21917808219;39945.20547945205;41838.904109589035;40714.5205479452;42608.21917808219;44146.84931506849;46395.616438356155;46395.616438356155;39175.8904109589;40714.5205479452;40714.5205479452;41069.58904109588;41069.58904109588;44856.98630136985;44501.91780821918;37282.191780821915;44501.91780821918;42608.21917808219;41838.904109589035;41069.58904109588;45271.232876712325;39945.20547945205;38051.50684931506;45271.232876712325;47164.9315068493;43732.602739726026;40714.5205479452;40359.452054794514;39590.13698630137;41838.904109589035;41069.58904109588;39175.8904109589;44146.84931506849;45626.301369863;45271.232876712325;37282.191780821915;39175.8904109589;45271.232876712325;41069.58904109588;42608.21917808219;39590.13698630137;41483.83561643835;41838.904109589035;42253.150684931505
'vacuum_cleaner';'vc';13635.616438356165;13635.616438356165;13315.068493150684;13956.164383561641;14893.150684931505;14104.109589041094;15213.698630136983;13635.616438356165;13315.068493150684;13315.068493150684;13635.616438356165;14104.109589041094;13635.616438356165;13635.616438356165;14104.109589041094;14424.657534246575;14104.109589041094;14424.657534246575;14745.205479452052;15534.246575342462;15213.698630136983;15534.246575342462;15213.698630136983;14893.150684931505;13956.164383561641;13315.068493150684;13315.068493150684;14424.657534246575;13635.616438356165;15213.698630136983;13635.616438356165;14424.657534246575;14104.109589041094;14893.150684931505;15534.246575342462;15213.698630136983;14104.109589041094;15534.246575342462;14745.205479452052;13315.068493150684;14893.150684931505;14424.657534246575;13635.616438356165;15213.698630136983;13315.068493150684;13315.068493150684;13315.068493150684;15213.698630136983;13315.068493150684;14745.205479452052;14104.109589041094;14745.205479452052;14104.109589041094;14104.109589041094;14745.205479452052;13635.616438356165;14424.657534246575;14893.150684931505;14104.109589041094;13635.616438356165;13635.616438356165;13635.616438356165;15213.698630136983;13315.068493150684;15534.246575342462;14424.657534246575;13315.068493150684;13315.068493150684;13635.616438356165;14893.150684931505;15534.246575342462;13315.068493150684;14424.657534246575;13315.068493150684;14104.109589041094;14893.150684931505;13956.164383561641;14424.657534246575;13956.164383561641;14104.109589041094;13956.164383561641;14104.109589041094;13635.616438356165;14424.657534246575;14104.109589041094;14745.205479452052;15213.698630136983;13956.164383561641;14104.109589041094;13956.164383561641;14424.657534246575;14893.150684931505;14104.109589041094;15534.246575342462;15213.698630136983;14104.109589041094;13315.068493150684;13956.164383561641;13315.068493150684;14104.109589041094
'washing_machine';'wm';89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574099;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89516.5288122821;89574.09713574099;89574.09713574097;89574.09713574097;89574.09713574099;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.097135741;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.097135741;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574099;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.097135741;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89290.68385102031;89574.09713574097;89574.09713574099;89574.09713574099;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89007.27056629963;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574099;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097
