'App_name';'App_nickname';0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
'air_conditioner';'ac';0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'lighting';'lux';137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132;137644.5132
'fridge';'frg';189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775;189369.77168949775
'freezer';'frz';0.0;195287.5770547946;0.0;195287.5770547946;0.0;195287.5770547946;0.0;0.0;0.0;0.0;195287.5770547946;0.0;0.0;195287.5770547946;0.0;195287.5770547946;0.0;0.0;0.0;195287.5770547946;0.0;0.0;0.0;195287.5770547946;195287.5770547946;0.0;0.0;0.0;0.0;0.0;0.0;195287.5770547946;195287.5770547946;0.0;0.0;0.0;195287.5770547946;0.0;195287.5770547946;0.0;0.0;0.0;0.0;195287.5770547946;0.0;0.0;195287.5770547946;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;195287.5770547946;0.0;0.0;0.0;0.0;0.0;195287.5770547946;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;195287.5770547946;0.0;0.0;0.0;0.0;0.0;195287.5770547946;0.0;195287.5770547946;195287.5770547946;0.0;0.0;0.0;0.0;0.0;195287.5770547946;195287.5770547946;0.0;0.0;0.0;195287.5770547946;0.0;195287.5770547946;0.0;0.0;195287.5770547946;195287.5770547946;0.0;195287.5770547946;0.0
'electric_oven';'elo';62732.42009132421;65795.43378995433;66104.10958904111;60144.29223744295;66246.57534246576;65486.757990867576;67006.39269406392;65486.75799086758;67766.2100456621;65320.547945205486;63943.3789954338;64085.84474885845;65344.29223744292;62423.74429223745;65937.899543379;65771.6894977169;63349.77168949772;65315.316152000625;66246.57534246575;67006.39269406394;64275.799086757994;64275.799086757994;65937.899543379;63824.65753424658;64726.940639269415;65629.22374429223;65178.08219178082;64560.73059360731;64726.94063926941;65035.61643835617;65320.547945205486;63349.77168949772;61972.60273972603;61212.78538812786;62732.42009132421;65035.61643835617;64703.196347031975;63349.77168949772;64252.054794520554;63967.12328767124;66840.18264840182;64726.94063926941;65011.87214611873;66246.57534246576;66080.36529680366;65486.75799086758;63800.91324200914;64418.26484018265;63349.77168949772;64109.58904109588;65178.08219178082;64109.58904109588;63349.77168949772;65795.43378995433;64560.73059360731;65486.75799086758;66531.50684931508;64869.40639269406;62566.2100456621;62874.88584474886;64418.264840182645;62898.63013698631;67006.39269406394;63800.91324200913;63800.91324200913;62281.27853881279;61830.13698630137;65486.75799086758;64560.7305936073;64726.9406392694;65486.75799086758;64869.40639269404;65925.64442480484;64252.05479452055;64252.05479452055;64560.73059360731;63515.98173515982;60595.433789954346;61972.60273972603;63486.915446386396;60761.64383561645;63515.98173515982;65178.08219178082;64275.799086757994;62898.63013698631;63967.12328767124;65035.61643835616;63795.68144880426;63658.44748858448;64418.26484018264;62898.63013698631;62281.27853881279;62276.046745607935;63349.77168949772;65795.43378995433;61663.92694063927;64418.264840182645;64252.05479452056;63183.56164383561;61806.392694063936
'microwave_oven';'mwo';23626.400996264016;0.0;0.0;0.0;24209.21544209216;24792.029887920304;22191.78082191781;26226.6500622665;24209.21544209216;22191.780821917815;0.0;23626.400996264016;22191.78082191781;25643.83561643836;25643.83561643836;0.0;0.0;22191.78082191781;24209.21544209216;22191.780821917815;25061.021170610213;0.0;22774.595267745957;24209.21544209216;22191.78082191781;25061.021170610213;26226.6500622665;22774.595267745954;26226.6500622665;23626.400996264016;0.0;22191.78082191781;24209.21544209216;0.0;0.0;24209.21544209216;23357.409713574103;22774.595267745957;24792.0298879203;24792.029887920304;23357.409713574103;23626.400996264016;25643.83561643836;22191.78082191781;24792.029887920304;26226.6500622665;0.0;24209.21544209216;25061.021170610213;23357.409713574096;25061.021170610213;22191.780821917815;0.0;22774.595267745957;22774.595267745957;24209.21544209216;24672.47820672478;22191.78082191781;0.0;0.0;25643.83561643836;0.0;0.0;23626.400996264016;24209.21544209216;25643.83561643836;24209.21544209216;22191.78082191781;24209.21544209216;0.0;22191.78082191781;24792.029887920304;0.0;24792.029887920304;25061.021170610213;23626.400996264016;26226.6500622665;25643.83561643836;24209.21544209216;25643.83561643836;0.0;0.0;23626.400996264016;24209.21544209216;0.0;26226.6500622665;22774.595267745957;0.0;0.0;25061.021170610213;0.0;23626.400996264016;23626.400996264016;24209.21544209216;26226.6500622665;23626.400996264016;25061.021170610213;23357.409713574103;25061.021170610213;0.0
'electric_boiler';'bo';0.0;769315.0684931506;0.0;0.0;765975.7290869899;0.0;0.0;0.0;0.0;0.0;769913.4246575342;0.0;0.0;0.0;0.0;0.0;0.0;774259.2680433451;0.0;0.0;0.0;0.0;768184.574819302;761616.3055209629;0.0;0.0;777008.2191780823;0.0;0.0;0.0;0.0;0.0;0.0;0.0;776409.8630136986;770426.301369863;0.0;0.0;755034.359223976;0.0;0.0;0.0;768711.0715527432;0.0;0.0;0.0;0.0;0.0;0.0;0.0;762713.7517391858;0.0;769913.4246575341;0.0;767690.9589041097;0.0;0.0;0.0;775896.98630137;779145.205479452;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;768788.4463412956;0.0;0.0;764936.2730556433;0.0;0.0;777008.2191780824;0.0;0.0;0.0;0.0;0.0;0.0;0.0;778119.4520547946;0.0;773674.5205479454;0.0;0.0;0.0;0.0;0.0;761095.1561087545;0.0;0.0;0.0
'iron';'ir';40714.5205479452;42963.28767123287;44501.91780821918;42963.28767123287;37282.191780821915;40714.5205479452;42253.150684931505;39175.8904109589;46040.54794520547;46395.616438356155;44856.98630136985;37282.191780821915;41838.90410958904;42963.28767123287;40714.5205479452;41838.904109589035;44146.84931506849;39175.8904109589;41069.58904109588;40714.5205479452;39175.8904109589;41838.904109589035;45271.232876712325;41069.58904109588;43732.602739726026;41838.904109589035;46395.616438356155;37282.191780821915;41838.90410958904;41838.904109589035;44856.98630136985;38820.821917808214;47164.9315068493;42963.28767123287;43732.602739726026;37282.191780821915;38051.50684931506;41069.58904109588;38051.50684931506;43732.602739726026;42963.28767123287;46040.54794520547;38820.821917808214;43377.534246575335;47164.9315068493;38051.50684931506;45271.23287671233;44501.91780821918;44146.84931506849;41069.58904109588;39945.20547945205;46040.54794520547;39175.8904109589;44501.91780821918;37282.191780821915;39590.13698630137;41483.83561643835;41483.83561643835;43377.534246575335;44146.84931506849;46395.616438356155;44146.84931506849;47164.9315068493;40714.5205479452;39175.8904109589;43732.602739726026;45271.232876712325;47164.9315068493;43377.534246575335;42963.28767123287;41483.83561643835;44856.98630136985;45271.232876712325;46395.616438356155;38051.50684931506;42253.150684931505;38051.50684931506;37282.191780821915;40714.5205479452;39945.20547945205;41838.90410958904;43732.602739726026;44501.91780821918;42253.150684931505;42608.21917808219;43377.534246575335;46040.54794520547;41069.58904109588;41483.83561643835;41069.58904109588;42963.28767123287;43732.602739726026;41483.83561643835;39175.8904109589;40359.452054794514;47164.93150684931;41069.58904109588;41838.904109589035;41483.83561643835;38820.821917808214
'vacuum_cleaner';'vc';14893.150684931505;13315.068493150684;15213.698630136983;14104.109589041094;14424.657534246575;13635.616438356165;13635.616438356165;13635.616438356165;13635.616438356165;14104.109589041094;14745.205479452052;14104.109589041094;13315.068493150684;15213.698630136983;14893.150684931505;15534.246575342462;14104.109589041094;14424.657534246575;14424.657534246575;13635.616438356165;14424.657534246575;13315.068493150684;13956.164383561641;14893.150684931505;14745.205479452052;14104.109589041094;14745.205479452052;14424.657534246575;13635.616438356165;13635.616438356165;14893.150684931505;15534.246575342462;14104.109589041094;14104.109589041094;15213.698630136983;14424.657534246575;15534.246575342462;13315.068493150684;13635.616438356165;14893.150684931505;14745.205479452052;15534.246575342462;14104.109589041094;13956.164383561641;15213.698630136983;13635.616438356165;14424.657534246575;13315.068493150684;13635.616438356165;14745.205479452052;14104.109589041094;14424.657534246575;13315.068493150684;15213.698630136983;14745.205479452052;14424.657534246575;14893.150684931505;13315.068493150684;14893.150684931505;13956.164383561641;15534.246575342462;13635.616438356165;14424.657534246575;14424.657534246575;14104.109589041094;15213.698630136983;14424.657534246575;14104.109589041094;15534.246575342462;14424.657534246575;13956.164383561641;14745.205479452052;15213.698630136983;13315.068493150684;13956.164383561641;14745.205479452052;13956.164383561641;14104.109589041094;15213.698630136983;14104.109589041094;14893.150684931505;13956.164383561641;13315.068493150684;13956.164383561641;14104.109589041094;13315.068493150684;13956.164383561641;15213.698630136983;15213.698630136983;13956.164383561641;14745.205479452052;14745.205479452052;14893.150684931505;13635.616438356165;15534.246575342462;15534.246575342462;14104.109589041094;13315.068493150684;14104.109589041094;14104.109589041094
'washing_machine';'wm';89574.09713574097;89574.09713574099;89574.09713574097;89458.96048882321;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574099;89574.09713574097;89574.09713574097;88157.03071213762;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574099;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574099;89574.09713574097;89574.09713574097;89574.09713574099;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574099;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89458.96048882321;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574099;89574.09713574097;89574.09713574099;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89343.82384190543;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574099;89574.09713574097;89574.09713574099;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;89574.09713574097;88998.41390115212;89574.09713574097
